response,title,main_desc,prerequisite,what_u_learn,instructor,inst_desig,inst_bio,total_duration,total_duration_unit,course_start_date,contents,display_price,emi,currency
<200 https://www.udacity.com/course/intro-to-statistics--st101>,Intro to Statistics,"<p>Statistics is about extracting meaning from data. In this class, we will introduce techniques for visualizing relationships in data and systematic techniques for understanding the relationships using mathematics.</p>","This course does not require any previous knowledge of statistics. Basic familiarity with algebra such as knowing how to compute the mean, median and mode of a set of numbers will be helpful. ,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Sebastian Thrun,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Visualizing relationships in data</heading><subheading><item1>Seeing relationships in data.</item1><item2>Introduction to Probability.</item2><item3>Maximum Likelihood Estimation.</item3><item4>Outliers, Quartiles.</item4><item5>Confidence Intervals.</item5><item6>Linear regression.</item6></subheading></module1><module2><heading>Probability</heading><subheading><item1>Making predictions based on data.</item1><item2>Bayes Rule.</item2><item3>Mean, Median, Mode.</item3><item4>Binomial Distribution.</item4><item5>Hypothesis Testing.</item5><item6>Correlation.</item6></subheading></module2><module3><heading>Estimation</heading><subheading><item1>Simpson's paradox.</item1><item2>Correlation vs. Causation.</item2><item3>Standard Deviation and Variance.</item3><item4>Manipulating Normal Distribution.</item4></subheading></module3><module4><heading>Outliers and Normal Distribution.</heading><subheading></subheading></module4><module5><heading>Inference</heading><subheading></subheading></module5><module6><heading>Regression</heading><subheading></subheading></module6></mainmodule>",Free,,
<200 https://www.udacity.com/course/javascript-testing--ud549>,JavaScript Testing,"<p>In this course you'll learn how to write JavaScript applications with confidence, using the red-green-refactor workflow. You'll write comprehensive suites of tests that validate your application is functioning as intended at all times.</p>","You should be comfortable writing JavaScript and using its object-oriented programming features. If you need a refresher on these subjects, consider taking our , and , courses.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Michael Wales,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Rethinking Testing</heading><subheading><item1>Validating opinions.</item1><item2>JavaScript doesn't support testing natively - you need a framework.</item2></subheading></module1><module2><heading>Writing Test Suites</heading><subheading><item1>Identifying and defining expectations.</item1><item2>Introduction to the Jasmine testing framework.</item2></subheading></module2></mainmodule>",Free,,
<200 https://www.udacity.com/course/object-oriented-programming-in-java--ud283>,Object Oriented Programming in Java,"<p>This course will introduce you to some of the most powerful programming concepts in Java, including: objects, inheritance and collections. You will learn how to use these object-oriented programming concepts in code examples, discover how these concepts are used in applications that require user input, and understand the benefits of mastering these concepts in Java.</p>","You should be familiar with Java syntax, as well as basic Java programming concepts like variables, data types, functions and loops. You also should have an IDE (Integrated Development Environment) installed on your machine that supports programming in Java, such as IntelliJ or Android Studio. If you lack this background, please take our free , prior to enrolling in this course.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Asser Samak| James Williams,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>The World of Objects</heading><subheading><item1>Learn how to create classes and objects and use them in programs</item1><item2>Learn how to accept user input at runtime</item2><item3>Understand the core OOP concepts of encapsulation, polymorphism and inheritance</item3><item4>Learn about Collection types: list, set, queue, stack and map</item4></subheading></module1><module2><heading>User Interaction</heading><subheading><item1>Discover the purpose of constructors, fields and methods</item1><item2>Learn how to pass user input to be stored for access later</item2><item3>Learn how to use interfaces to extend and add features to classes</item3><item4>Understand how the Collection interface is implemented</item4></subheading></module2><module3><heading>Inheritance</heading><subheading><item1>Learn how to use access modifiers to set your classes to public or private</item1><item2>Build a program that a user can interact with</item2><item3>Experiment with overriding methods and the `super` keyword to access methods</item3></subheading></module3><module4><heading>Collections</heading><subheading></subheading></module4></mainmodule>",Free,,
<200 https://www.udacity.com/course/swift-for-beginners--ud1022>,Swift for Beginners,"<p>In this course, you’ll begin learning Swift, Apple's programming language for building iOS applications. You'll start with fundamentals and work your way towards understanding all the core principles necessary to get started creating your first app. At the end of the course, you'll complete a problem set of exercises designed to challenge your understanding of Swift and give you the opportunity to apply what you've learned.</p>","This course assumes no prior programming experience. Basic computer literacy and an understanding of how to navigate the macOS is recommended.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Jarrod Parkes,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Variables</heading><subheading><item1>In this lesson, you’ll learn about one of the most basic building blocks of nearly every programming language — variables. Variables give developers the ability to store information that can be used to control the behavior of an application. By the end of this lesson, you'll be able to create and store values using variables.</item1><item2>In this lesson, you’ll learn how to represent a sequence of characters, or in other words, a string! For iOS apps, you'll use strings for labels, buttons, and any text in a user interface, but you'll also need them for behind-the-scenes processing. By the end of this lesson, you'll be able to create and manipulate strings using their powerful built-in features.</item2><item3>In this lesson, you’ll learn how to control when and how Swift code is executed by using if statements. You'll also learn about the counterpart to if statements called ""else"" statements. By the end of this lesson, you'll be able to specify conditions for when Swift code should be executed based on logic that you define.</item3><item4>In this lesson, you’ll learn about functions — the construct which gives developers the ability to organize and reuse code. Understanding functions is a crucial step to becoming an iOS developer, and once you finish this lesson, you'll be able to create and use them in Swift.</item4></subheading></module1><module2><heading>Strings</heading><subheading></subheading></module2><module3><heading>If Statements</heading><subheading></subheading></module3><module4><heading>Functions</heading><subheading></subheading></module4></mainmodule>",Free,,
<200 https://www.udacity.com/course/localization-essentials--ud610>,Localization Essentials,"<p>Localization is the art of adapting a product linguistically and culturally for international users. Although the industry has been around since the 1980s, it has become increasingly important over the past few years as more and more users are getting online and the vast majority of these users are non-English speakers.</p>","Students should have basic computer skills: managing files, navigating the internet and running programs and applications. During the course, students will be asked to perform operations on a computer, so you should have access to a computer that is able to run a Chrome browser. Students will also have the opportunity to try and use a CAT Tool, GTT, freely available with a Google account.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Christina Hayek| Svein Hermansen,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Key Concepts</heading><subheading><item1>Learn about the history of localization broadly and at Google.</item1><item2>See what localization looks like in practice.</item2><item3>Meet some of the localization professionals at Google.</item3><item4>Focus on the series of steps involved in localization project preparation, execution, testing and launch.</item4><item5>Learn about the different types of tools involved at every stage of the localization process and how they work together.</item5></subheading></module1><module2><heading>Content Types</heading><subheading><item1>Explore the power of localization and cover key concepts and definitions you’ll need throughout this course.</item1><item2>Learn how professionals approach the localization of different content types from online help documents, to the actual user interface of an app or software.</item2><item3>Learn about different roles and profiles of localization team members and the skills required.</item3></subheading></module2><module3><heading>Profiles and Skills</heading><subheading></subheading></module3><module4><heading>Processes</heading><subheading></subheading></module4><module5><heading>Tools</heading><subheading></subheading></module5></mainmodule>",Free,,
<200 https://www.udacity.com/course/html5-canvas--ud292>,HTML5 Canvas,<p>Canvas is an HTML5 element which gives you drawable surface inside your web pages you can control with JavaScript. Powerful enough to use for compositing images and even creating games.</p>,"To succeed in this course, we expect you to have some HTML and JavaScript experience. You should at minimum understand loops, functions, and conditional statements(if/else). ,Udacity’s , and , are good preparation for this course.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Cameron Pittman| James Williams,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>HTML5 Canvas Basics</heading><subheading><item1>Learn what the Canvas is and how it affects graphics in the browser.</item1><item2>Learn how images are stored by the Canvas2D context.</item2></subheading></module1><module2><heading>From Pixels to Animation</heading><subheading><item1>Learn how to make compositions with text and images with memes!</item1><item2>Learn how to modify images by applying various effects and filters.</item2></subheading></module2></mainmodule>",Free,,
<200 https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406>,How to Make a Platformer Using libGDX,"<p>'2D Game Development with libGDX' explored the basics of the libGDX game framework, from simple drawing to user input. </p>","This course builds on '2D Game Development with libGDX', so taking that course first is strongly recommended. Otherwise, you'll need familiarity with the basics of libGDX. ,This course assumes basic proficiency with Java and Android Studio, including working with collections, implementing interfaces, and extending abstract classes. It is also assumed that you can read and understand documentation and source code.,To brush up on these skills, consider taking Intro to Java Programming and How to Install Android Studio.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Peter Heinrich| Jeremy Silver,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Sprites and Animations</heading><subheading><item1>Learn to draw using predefined sprites, animations and stretchable nine-patches.</item1><item2>Create GigaGal and give her the ability to move and jump.</item2><item3>Add the platforms to GigaGal and allow GigaGal to jump on them and fall off again.</item3><item4>Set up the camera to follow GigaGal around the level.</item4><item5>Add GigaGal's evil robot adversaries.</item5><item6>Let GigaGal fight back with her arm cannon and create awesome explosions.</item6><item7>Add the ability to load level data created in an external tool.</item7><item8>Add a score display, lives counter, and on screen controls for mobile players.</item8></subheading></module1><module2><heading>The Player</heading><subheading><item1>Learn to pack many sprites into a texture atlas that can be efficiently loaded.</item1><item2>Add separate sprites for facing left, facing right, standing, and jumping.</item2></subheading></module2><module3><heading>The Platforms</heading><subheading></subheading></module3><module4><heading>The Camera</heading><subheading></subheading></module4><module5><heading>The Enemies</heading><subheading></subheading></module5><module6><heading>The Bullets</heading><subheading></subheading></module6><module7><heading>Level Loading</heading><subheading></subheading></module7><module8><heading>Adding the HUD and onscreen controls</heading><subheading></subheading></module8></mainmodule>",Free,,
<200 https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401>,Introduction to Graduate Algorithms,<p>This is a graduate-level course in the design and analysis of algorithms. We study techniques for the design of algorithms (such as dynamic programming) and algorithms for fundamental problems (such as fast Fourier transform or FFT).</p>,"Students are expected to have an undergraduate course on the design and analysis of algorithms. In particular, they should be familiar with basic graph algorithms, including DFS, BFS, and Dijkstra's shortest path algorithm, and basic dynamic programming and divide and conquer algorithms (including solving recurrences). An undergraduate course in discrete mathematics is assumed, and students should be comfortable analyzing the asymptotic running time of algorithms.,The course uses the textbook , by Sanjoy Dasgupta, Christos Papadimitriou, and Umesh Vazirani.,See the , for using Udacity.","Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",Eric Vigoda| Arpan Chakraborty,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Dynamic Programming</heading><subheading><item1>Fibonacci Numbers, Longest Increasing Subsequence (LIS), Longest Common Subsequence (LCS)</item1><item2>Modular Arithmetic: Fast Modular Exponentiation, Multiplicative Inverses</item2><item3>Fast Integer Multiplication</item3><item4>Strongly Connected Components, 2-Satisfiability</item4><item5>Ford-Fulkerson Algorithm</item5><item6>Simplex Algorithm</item6><item7>Complexity Classes: P, NP, NP-Complete</item7></subheading></module1><module2><heading>Randomized Algorithms</heading><subheading><item1>Knapsack, Chain Matrix Multiplication</item1><item2>RSA Cryptosystem: Fermat's Little Theorem, RSA Protocol, Primality Testing</item2><item3>Linear-Time Median</item3><item4>Minimum Spanning Tree</item4><item5>Max-Flow Min-Cut Theorem, Edmonds-Karp Algorithm</item5><item6>Weak and Strong Duality</item6><item7>NP-Complete Problems: 3-SAT, Independent Set, Clique, Vertex Cover, Knapsack, Subset-Sum</item7></subheading></module2><module3><heading>Divide and Conquer</heading><subheading><item1>Shortest Path Algorithms</item1><item2>Hashing: Traditional Chain Hashing, Bloom Filters</item2><item3>Fast Fourier Transform</item3><item4>Markov Chains, PageRank</item4><item5>Max-Flow applied to Image Segmentation</item5><item6>Max-SAT Approximation</item6><item7>Halting Problem</item7></subheading></module3><module4><heading>Graph Algorithms</heading><subheading></subheading></module4><module5><heading>Max-Flow Problems</heading><subheading></subheading></module5><module6><heading>Linear Programming</heading><subheading></subheading></module6><module7><heading>NP-Completeness</heading><subheading></subheading></module7></mainmodule>",Free,,
<200 https://www.udacity.com/course/how-to-create-anything-in-android--ud802>,How to create <anything> in Android,<p>Here is one important question Android developers ask while making apps: </p>,"You will need to know the very basics of Android programming (Java) to be successful in this course. If you are completely new to programming, you should take , before enrolling in this course.,We will use Android Studio to build our apps, so you should have access to a computer that can run Android Studio in order to follow along (see Android Studio's , for details). ,Access to an Android device is helpful, but not at all required.,Finally, the most important prerequisite is a willingness to learn new things, and belief that you can do this!,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Kunal Chawla| Jessica Lin,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>[]</heading><subheading></subheading></module1><module2><heading>[]</heading><subheading></subheading></module2></mainmodule>",Free,,
<200 https://www.udacity.com/course/2d-game-development-with-libgdx--ud405>,2D Game Development with libGDX,"<p>This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. We start with simple drawings, and then turn to simple animations, physics, and user input handling. Finally, we create a full game, called Icicles, where icicles rain down from the top of the screen, and the player must dodge them using the arrow keys or by tilting their phone.</p>","This course assumes basic proficiency with Java, including working with collections, implementing interfaces, and extending abstract classes. It is also assumed that you can read and understand documentation and source code.,Proficiency with Git and Android Studio is helpful, but not required.,To brush up on these skills, consider taking ,, and ,.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Peter Heinrich| Jeremy Silver,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Intro to Cross Platform Game Development</heading><subheading><item1>LibGDX allows you write a game and deploy it to Android and iOS devices, desktop computers and browsers.</item1><item2>Import and your first LibGDX project.</item2><item3>Use the LibGDX ShapeRenderer object to draw some simple shapes (and some not-so-simple fractals).</item3><item4>Use a camera to focus the player's field of view on a portion of a larger game world.</item4><item5>Create simple animations and physics effects by updating the game world over time.</item5><item6>Handle key presses, touches, and accelerometer input.</item6><item7>Create the core of Icicles, including player controls.</item7><item8>Add scoring, a head-up display, and a difficulty select screen.</item8></subheading></module1><module2><heading>Intro to LibGDX</heading><subheading><item1>Explore the functionality that the LibGDX game framework provides.</item1><item2>Run it on your computer and Android device.</item2></subheading></module2><module3><heading>Drawing</heading><subheading></subheading></module3><module4><heading>Cameras and Viewports</heading><subheading></subheading></module4><module5><heading>Movement</heading><subheading></subheading></module5><module6><heading>User Input</heading><subheading></subheading></module6><module7><heading>Growing Icicles</heading><subheading></subheading></module7><module8><heading>Polishing Icicles</heading><subheading></subheading></module8></mainmodule>",Free,,
<200 https://www.udacity.com/course/object-oriented-javascript--ud711>,Object-Oriented JavaScript,"<p>This course is designed to teach web developers how to utilize the various object-oriented programming features within JavaScript. Object-oriented programming allows developers to build applications with reusable and maintainable blocks of code, which leads to efficiency and simplified software design.</p>","This course builds on the skills covered in ,. Prior to taking this course, the student should be able to: ,See the , for using Udacity.,See the , for using Udacity.",Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,Richard Kalehoff| Andrew Wong,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Objects in Depth</heading><subheading><item1>Create objects and add/remove properties to them</item1><item2>Leverage functions as first-class functions</item2><item3>Write a constructor function to instantiate objects</item3></subheading></module1><module2><heading>Functions at Runtime</heading><subheading><item1>Write methods to access and mutate an object's properties</item1><item2>Identify when a scope is created</item2><item3>Identify and manually set the value of this</item3></subheading></module2><module3><heading>Classes and Objects</heading><subheading><item1>Learn how variables are properties on window</item1><item2>Utilize closures and IIFE's to build private state</item2><item3>Implement prototypal inheritance</item3></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/human-computer-interaction--ud400>,Human-Computer Interaction,"<p>This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.</p>","This class does not have significant prerequisites before participation. In lieu of readiness questions, the following bullet points describe the tasks you will complete as part of this class; you may use this description of tasks to evaluate your readiness to take this class.,You will analyze and evaluate user interfaces, both ones that we provide and ones that you go out and find on your own.,You will conduct needfinding exercises to uncover problems that can be address through HCI methods.,You will prototype user interfaces based on principles you learn within class in response to those needs.,You will evaluate your user interfaces based on feedback you receive from potential users.,You will revise your user interfaces accordingly and iterate on the prototyping process.,You will apply those principles to an emerging area of HCI.,See the , for using Udacity.","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",David Joyner,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Principles</heading><subheading><item1>Feedback Cycles and Direct Manipulation</item1><item2>Needfinding and Requirements Gathering</item2><item3>Virtual and Augmented Reality, and others</item3></subheading></module1><module2><heading>Methods</heading><subheading><item1>Design Principles and Heuristics</item1><item2>Low-Fidelity to High-Fidelity Prototyping</item2><item3>Ubiquitous and Context-Sensitive Computing, and others</item3></subheading></module2><module3><heading>Applications</heading><subheading><item1>Mental Models and Distributed Cognition</item1><item2>Predictive, Empirical, and Qualitative Evaluation</item2><item3>Healthcare, Education, and Security, and others</item3></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/intro-to-jquery--ud245>,Intro to jQuery,"<p>jQuery is the most popular JavaScript library today, in use by over 60% of the top 100,000 most visited websites. This course will teach you how to use jQuery’s core features - DOM element selections, traversal and manipulation.</p>","To succeed in this course, we expect you to have some HTML and JavaScript experience. You should at minimum understand loops, functions, and conditional statements (if/else). ,Udacity’s , and , are good preparation for this course.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Cameron Pittman,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>The DOM, $ and Selectors</heading><subheading><item1>The jQuery object ($).</item1><item2>How to read jQuery documentation.</item2></subheading></module1><module2><heading>DOM Manipulation</heading><subheading><item1>Review of the DOM structure.</item1><item2>How to modify HTML attributes and content.</item2></subheading></module2></mainmodule>",Free,,
<200 https://www.udacity.com/course/firebase-analytics-ios--ud353>,Firebase Analytics: iOS,"<p>In this course, you’ll learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution. You'll be able to learn who your users are and how they interact with your app. You can then use this information to make informed decisions to improve your app, such as how difficult to make a level in a game, where to place an advertisement, or what products to stock.</p>","Some experience with Firebase is highly recommended. Check out , and , to learn more about Firebase.,You need to have proficiency in building an iOS mobile application, including experience in basic command line, calling a web or cloud API, working with the view controller life cycle, using multiple view controllers, and working with UITableViewController (iOS Developer Nanodegree or equivalent level). Familiarity working with a web service from iOS, using Core Data, or building apps that use databases will also be helpful.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Steve Ganem| Todd Kerpelman| Kate Rotondo| Jennifer Person,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction to Digital Analytics</heading><subheading><item1>Goals</item1><item2>Firebase Analytics Dashboard Introduction</item2><item3>Suggested Events</item3><item4>Crash Reporting</item4></subheading></module1><module2><heading>Introduction to Firebase Analytics</heading><subheading><item1>Strategies</item1><item2>Events and Conversion Events</item2><item3>Custom Events</item3><item4>Remote Config</item4></subheading></module2><module3><heading>Implementing In-App Analytics</heading><subheading><item1>Key Performance Indicators</item1><item2>Audiences and Funnels</item2><item3>Logging User Properties</item3><item4>Dynamic Links</item4></subheading></module3><module4><heading>Analytics Integration</heading><subheading></subheading></module4></mainmodule>",Free,,
<200 https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268>,Dynamic Web Applications with Sinatra,"<p>Learn how to build web applications with Sinatra, an elegant and approachable web development micro-framework for Ruby.</p>","This course is ideal for intermediate Ruby programmers who also have experience with Git and GitHub.,Students should be proficient in HTML and CSS.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Colt Steele,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>[]</heading><subheading><item1>Use your knowledge of web fundamentals and request/response cycle to run your first Sinatra application.</item1><item2>Create your own Sinatra application and define your first custom Sinatra route handlers.</item2><item3>Create a Sinatra app that responds with HTML content. Define dynamic templates using the templating language ERB.</item3></subheading></module1><module2><heading>[]</heading><subheading></subheading></module2></mainmodule>",Free,,
<200 https://www.udacity.com/course/compilers-theory-and-practice--ud168>,Compilers: Theory and Practice,<p>The objective of this course is to learn the theory and practice behind building automatic translators (compilers) for higher level programming languages and to engineer and build key phases of a compiler in Java or C++ for a small language.</p>,"Good knowledge of data structures and algorithms, good programming skills and ability to write sizeable software in Java or C++. Should be able to work in Linux environment.,See the , for using Udacity.","Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",Santosh Pande| Catherine Gamboa,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Front End</heading><subheading><item1>Compiler Phases</item1><item2>Syntax Directed Translation</item2><item3>Register Allocation & Instruction Selection</item3></subheading></module1><module2><heading>Middle End</heading><subheading><item1>Scanners & Parsers</item1><item2>Control Structures and Back-patching</item2><item3>Code layout and Code Generation</item3></subheading></module2><module3><heading>Back-end</heading><subheading><item1>Semantic Analysis</item1><item2>Function and Procedure Calls & Runtime Organization</item2><item3>Brief Introduction to Code Optimization</item3></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/writing-readmes--ud777>,Writing READMEs,"<p>In this course, you’ll learn what documentation is and why it’s an important part of the development process. You'll learn how to build a well-structured README that you’ll be able to incorporate into your projects moving forward. By the end of this course, you will have written your very own README file using Markdown.</p>","This course is for anybody who writes code or works with others who do. The only prerequisites are:,See the , for using Udacity.",Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,Walter Latimer,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Writing READMEs</heading><subheading><item1>Learn what documentation is and who it's for.</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/intro-to-progressive-web-apps--ud811>,Intro to Progressive Web Apps,"<p>In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many of the features native applications have enjoyed. You’ll also get more experience in creating a web app that works offline using Service Workers. Finally, you’ll make your app installable to the user’s home screen with the Web App Manifest file.</p>","Students should know HTML, CSS, and JavaScript, including object-oriented JavaScript. You should also have access to a mobile device capable of running the latest version of ,.,See the , for using Udacity.","Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",Pete LePage| Michael Wales,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Progressive Web Apps</heading><subheading><item1>What is a Progressive Web App is and why you would want to make one?</item1><item2>Use Service Workers to enable your application to work offline.</item2><item3>Allow users to install your Progressive Web App to their device’s home screen.</item3></subheading></module1><module2><heading>Service Workers</heading><subheading><item1>Get started building out your very own app shell.</item1><item2>Identify which assets you should cache and how to use these cached assets in your application.</item2><item3>Properly configure a Web App Manifest.</item3></subheading></module2><module3><heading>Web App Manifest</heading><subheading></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/ios-persistence-and-core-data--ud325>,iOS Persistence and Core Data,"<p>Persisting data is a core skill for any iOS developer. This course will teach you three techniques for storing data to your device’s hard drive: NSUserPreferences for small amounts of data, the Sandbox for files and Core Data when you have to play in the Big Leagues!</p>","This course assumes extensive iOS experience. Specifically, you’ve built several apps, know how to use core iOS libraries, and are familiar with networking and MVC design principles. ,, ,, and , are good courses to take if you need to familiarize yourself with these concepts.,The course also assumes basic familiarity with git. Specifically, you will need to be able to clone git repositories and checkout branches specific to each lesson. , is a great option if you need to brush up on these skills.,You will need access to a Mac computer running OS X 10.9 or later. However, you do not need an iPad or iPhone to complete the activities. All exercises can be completed using the iOS simulator built into Xcode.,See the , for using Udacity.,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Fernando Rodriguez| Eden Shapiro| Kate Rotondo,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Simple Persistence</heading><subheading><item1>Learn about simple persistence and how to save small pieces of data.</item1><item2>Learn about the iOS File System, and your app’s sandbox.</item2><item3>Meet Core Data, Apple’s framework for managing the data layer.</item3><item4>Set up the classes we need to get Core Data up and running.</item4><item5>Enable user interfaces to reactively update whenever the model changes.</item5><item6>Update the data model and safely migrate user data between versions.</item6></subheading></module1><module2><heading>The iOS File System</heading><subheading><item1>Set user preferences using NSUserDefaults in an existing app.</item1><item2>Read and save files using NSFileManager in an existing app.</item2><item3>Explore what a data layer is.</item3><item4>Use the stack to manage model object creation and deletion.</item4><item5>Set up an NSFetchedResultsController to observe data changes and notify the UI.</item5><item6>Work with multiple managed object contexts for different types of tasks.</item6></subheading></module2><module3><heading>Introducing Core Data</heading><subheading><item1>Enable an app’s user preferences to appear in the Settings app.</item1><item2>Understand the performance implications of atomic (all-at-once) file operations.</item2><item3>Convert a non-Core Data note-taking app to have a Core Data model.</item3><item4>Persist changes so that data stays put when you restart the app or device.</item4><item5>Create a new version of a data model, modify a table view to work with a fetched results controller, and turn on caching.</item5><item6>Keep the user interface responsive by sending lengthy tasks to a background queue.</item6></subheading></module3><module4><heading>The Core Data Stack</heading><subheading></subheading></module4><module5><heading>Simpler Code with Core Data</heading><subheading></subheading></module5><module6><heading>Core Data & Concurrency</heading><subheading></subheading></module6></mainmodule>",Free,,
